,날짜,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
90,2023-05-13,토,키움,NC,고척,6573,17:00,20:06,3:06,요키시,송명기,고척
91,2023-05-14,일,키움,NC,고척,5634,14:00,16:55,2:55,후라도,페디,고척
92,2023-05-16,화,키움,두산,고척,5662,18:30,21:48,3:18,최원태,최원준,고척
93,2023-05-17,수,키움,두산,고척,5232,18:30,22:14,3:44,정찬헌,이원재,고척
94,2023-05-18,목,키움,두산,고척,5742,18:30,22:09,3:39,안우진,김동주,고척
95,2023-05-26,금,키움,롯데,고척,11692,18:30,21:15,2:45,후라도,스트레일리,고척
96,2023-05-27,토,키움,롯데,고척,16000,14:00,17:28,3:28,최원태,반즈,고척
97,2023-05-28,일,키움,롯데,고척,16000,14:00,17:34,3:34,정찬헌,나균안,고척
98,2023-06-06,화,키움,LG,고척,14903,14:00,17:08,3:08,요키시,켈리,고척
99,2023-06-07,수,키움,LG,고척,5390,18:30,22:56,4:26,후라도,플럿코,고척
100,2023-06-08,목,키움,LG,고척,6076,18:30,21:21,2:51,최원태,김윤식,고척
101,2023-06-13,화,키움,KIA,고척,7834,18:30,21:42,3:12,후라도,양현종,고척
102,2023-06-14,수,키움,KIA,고척,8016,18:29,21:18,2:49,최원태,앤더슨,고척
103,2023-06-15,목,키움,KIA,고척,8528,18:30,22:20,3:50,정찬헌,메디나,고척
104,2023-06-23,금,키움,두산,고척,7316,18:30,21:53,3:23,장재영,곽빈,고척
105,2023-06-24,토,키움,두산,고척,11717,17:00,19:39,2:39,후라도,브랜든,고척
106,2023-06-25,일,키움,두산,고척,9549,14:00,17:40,3:40,맥키니,알칸타라,고척
107,2023-06-30,금,키움,SSG,고척,7164,18:30,21:28,2:58,후라도,김광현,고척
108,2023-07-01,토,키움,SSG,고척,10836,18:00,21:10,3:10,맥키니,엘리아스,고척
109,2023-07-02,일,키움,SSG,고척,9512,14:00,17:55,3:55,최원태,오원석,고척
110,2023-07-04,화,키움,NC,고척,4474,18:30,22:14,3:44,안우진,이준호,고척
111,2023-07-05,수,키움,NC,고척,4027,18:31,21:24,2:53,장재영,페디,고척
112,2023-07-06,목,키움,NC,고척,4013,18:30,22:07,3:37,후라도,와이드너,고척
113,2023-07-11,화,키움,KT,고척,4217,18:29,21:13,2:44,안우진,벤자민,고척
114,2023-07-12,수,키움,KT,고척,3890,18:30,21:40,3:10,후라도,쿠에바스,고척
115,2023-07-13,목,키움,KT,고척,4520,18:30,21:20,2:50,맥키니,고영표,고척
116,2023-07-25,화,키움,한화,고척,9886,18:30,23:01,4:31,장재영,한승혁,고척
117,2023-07-26,수,키움,한화,고척,11324,18:30,21:39,3:09,맥키니,문동주,고척
118,2023-07-27,목,키움,한화,고척,11650,18:30,20:42,2:12,안우진,산체스,고척
119,2023-07-28,금,키움,삼성,고척,7755,18:31,22:56,4:25,후라도,원태인,고척
120,2023-07-29,토,키움,삼성,고척,11851,18:01,21:09,3:08,김동혁,뷰캐넌,고척
121,2023-07-30,일,키움,삼성,고척,11235,14:00,17:45,3:45,장재영,백정현,고척
122,2023-08-08,화,키움,롯데,고척,8376,18:30,22:03,3:33,안우진,반즈,고척
123,2023-08-09,수,키움,롯데,고척,7424,18:30,22:14,3:44,후라도,박세웅,고척
124,2023-08-10,목,키움,롯데,고척,6240,18:30,22:39,4:09,정찬헌,한현희,고척
125,2023-08-18,금,키움,롯데,고척,8817,18:30,21:44,3:14,맥키니,반즈,고척
