날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.09.10(토),17:00,20:03,3:03,김민우,박종훈,대전
2022.09.11(일),14:00,16:52,2:52,라미레즈,김광현,대전
2022.09.13(화),18:30,21:49,3:19,스트레일리,폰트,사직
2022.09.14(수),18:31,21:26,2:55,나균안,모리만도,사직
2022.09.15(목),18:30,21:20,2:50,구창모,오원석,창원
2022.09.16(금),18:30,21:29,2:59,신민혁,박종훈,창원
2022.09.17(토),17:00,19:47,2:47,김광현,브랜든,문학
2022.09.18(일),13:59,18:14,4:15,폰트,스탁,문학
2022.09.20(화),18:30,21:13,2:43,모리만도,데스파이네,문학
2022.09.21(수),18:30,21:55,3:25,오원석,벤자민,문학
2022.09.22(목),18:29,21:25,2:56,박종훈,김민우,문학
2022.09.23(금),18:29,21:56,3:27,김광현,김기중,문학
2022.09.24(토),16:59,20:10,3:11,이태양,박신지,문학
2022.09.25(일),14:00,17:46,3:46,모리만도,플럿코,문학
2022.09.29(목),18:30,22:58,4:28,김광현,한현희,문학
2022.09.30(금),18:29,22:57,4:28,폰트,안우진,문학
2022.10.01(토),17:00,20:22,3:22,양현종,모리만도,광주
2022.10.03(월),13:59,17:31,3:32,문동주,박종훈,대전
2022.10.05(수),18:31,21:16,2:45,브랜든,김광현,잠실
2022.10.06(목),18:30,21:07,2:37,루친스키,최민준,창원
2022.10.08(토),17:00,19:14,2:14,수아레즈,박종훈,대구
2023.04.01(토),14:01,17:24,3:23,김광현,앤더슨,문학
2023.04.02(일),14:01,17:27,3:26,맥카티,이의리,문학
2023.04.04(화),18:30,21:45,2:43,오원석,박세웅,문학
2023.04.07(금),18:29,22:31,4:02,장민재,박종훈,대전
2023.04.08(토),17:00,20:57,3:57,김민우,김광현,대전
2023.04.09(일),14:00,17:07,3:07,페냐,맥카티,대전
2023.04.11(화),18:30,21:39,3:09,원태인,오원석,대구
2023.04.12(수),18:30,21:02,2:32,백정현,문승원,대구
2023.04.13(목),18:30,22:08,3:38,양창섭,박종훈,대구
2023.04.14(금),18:30,21:32,3:02,송영진,송명기,문학
2023.04.15(토),17:00,20:11,3:11,맥카티,구창모,문학
2023.04.16(일),14:00,18:10,4:10,오원석,신민혁,문학
2023.04.18(화),18:31,21:15,2:44,고영표,문승원,수원
2023.04.19(수),18:29,21:06,2:37,엄상백,박종훈,수원
2023.04.20(목),18:29,21:45,3:16,벤자민,송영진,수원
2023.04.21(금),18:29,21:16,2:47,김광현,후라도,문학
2023.04.22(토),17:00,19:33,2:33,맥카티,최원태,문학
2023.04.23(일),14:00,17:33,3:33,오원석,이승호,문학
2023.04.25(화),18:29,22:08,3:39,켈리,문승원,잠실
2023.04.26(수),18:30,21:42,3:12,김윤식,송영진,잠실
2023.04.27(목),18:30,21:44,3:14,플럿코,김광현,잠실
2023.04.28(금),18:30,21:35,3:05,맥카티,최승용,문학
2023.04.29(토),16:59,20:39,3:40,오원석,최원준,문학
2023.04.30(일),13:59,16:41,2:42,박종훈,곽빈,문학
2023.05.02(화),18:30,21:20,2:50,문승원,벤자민,문학
2023.05.03(수),18:30,22:23,3:53,김광현,소형준,문학
2023.05.04(목),18:30,21:20,2:50,맥카티,슐서,문학
2023.05.05(금),14:00,16:35,2:35,정찬헌,오원석,고척
2023.05.06(토),17:00,19:38,2:38,안우진,박종훈,고척
2023.05.07(일),14:00,18:40,4:40,요키시,송영진,고척
2023.05.09(화),18:29,20:53,2:24,양현종,김광현,광주
2023.05.10(수),18:30,21:49,3:19,앤더슨,이건욱,광주
2023.05.11(목),18:29,22:18,3:49,윤영철,오원석,광주
2023.05.12(금),18:30,22:13,3:43,박종훈,장민재,문학
2023.05.13(토),17:00,20:32,3:32,송영진,문동주,문학
2023.05.14(일),14:01,18:59,4:58,김광현,김민우,문학
2023.05.16(화),18:30,21:50,3:20,신민혁,맥카티,창원
2023.05.17(수),18:30,21:58,3:28,구창모,오원석,창원
2023.05.19(금),18:30,21:59,3:29,박세웅,박종훈,사직
2023.05.20(토),17:01,19:37,2:36,스트레일리,김광현,사직
2023.05.21(일),14:00,17:41,3:41,반즈,맥카티,사직
2023.05.23(화),18:29,21:32,3:03,오원석,임찬규,문학
2023.05.24(수),18:29,21:41,3:12,엘리아스,이지강,문학
2023.05.25(목),18:29,21:34,3:05,송영진,켈리,문학
2023.05.26(금),18:30,21:50,3:20,알칸타라,박종훈,잠실
2023.05.30(화),18:30,21:16,2:46,맥카티,수아레즈,문학
2023.05.31(수),18:30,21:19,2:49,엘리아스,백정현,문학
2023.06.01(목),18:30,21:29,2:59,백승건,양창섭,문학
2023.06.02(금),18:30,21:47,3:17,박종훈,최원태,문학
2023.06.03(토),17:00,20:16,3:16,오원석,정찬헌,문학
2023.06.04(일),16:59,20:06,3:07,맥카티,장재영,문학
2023.06.06(화),14:01,17:00,2:59,윤영철,엘리아스,광주
2023.06.07(수),18:30,22:13,3:43,양현종,백승건,광주
2023.06.08(목),18:30,21:47,3:17,앤더슨,박종훈,광주
2023.06.09(금),18:30,21:23,2:53,페디,오원석,창원
2023.06.10(토),16:59,19:39,2:40,이재학,맥카티,창원
2023.06.11(일),17:00,20:11,3:11,와이드너,김광현,창원
2023.06.13(화),18:29,21:25,2:56,엘리아스,엄상백,문학
2023.06.14(수),18:30,21:40,3:10,박종훈,배제성,문학
2023.06.15(목),18:30,21:14,2:44,오원석,고영표,문학
2023.06.16(금),18:30,21:31,3:01,맥카티,한현희,문학
2023.06.17(토),16:59,20:37,3:38,김광현,박세웅,문학
2023.06.18(일),17:00,20:22,3:22,엘리아스,반즈,문학
2023.06.20(화),18:31,22:05,3:34,알칸타라,조성훈,잠실
2023.06.21(수),18:30,22:14,3:44,최원준,오원석,잠실
2023.06.22(목),18:31,21:57,3:20,최승용,맥카티,잠실
2023.06.23(금),18:29,21:10,2:41,김광현,백정현,문학
2023.06.24(토),17:00,20:38,3:38,엘리아스,최채흥,문학
2023.06.25(일),17:00,20:12,3:12,조성훈,뷰캐넌,문학
2023.06.27(화),18:30,21:38,3:08,오원석,임찬규,문학
2023.06.28(수),18:30,22:33,4:03,박종훈,이지강,문학
2023.06.30(금),18:30,21:28,2:58,후라도,김광현,고척
2023.07.01(토),18:00,21:10,3:10,맥키니,엘리아스,고척
2023.07.02(일),14:00,17:55,3:55,최원태,오원석,고척
2023.07.05(수),18:30,21:59,3:29,박종훈,윤영철,문학
2023.07.06(목),18:30,22:32,4:02,김광현,양현종,문학
2023.07.08(토),18:00,21:54,3:54,산체스,엘리아스,대전
2023.07.09(일),17:00,19:42,2:42,페냐,오원석,대전
2023.07.12(수),18:29,21:52,3:23,김광현,브랜든,문학
2023.07.21(금),18:30,21:50,3:20,켈리,김광현,잠실
2023.07.25(화),18:30,21:35,3:05,수아레즈,오원석,대구
2023.07.26(수),18:29,22:32,3:54,최채흥,맥카티,대구
2023.07.27(목),18:30,21:41,3:11,김대우,김광현,대구
2023.07.28(금),18:30,21:37,3:07,엘리아스,페냐,문학
2023.07.29(토),17:59,21:24,3:25,박종훈,장민재,문학
2023.07.30(일),16:59,21:24,3:24,오원석,한승혁,문학
2023.08.01(화),18:30,21:02,2:32,고영표,맥카티,수원
2023.08.02(수),18:30,20:57,2:27,쿠에바스,김광현,수원
2023.08.03(목),18:30,21:13,2:43,엄상백,엘리아스,수원
2023.08.04(금),18:31,21:55,3:24,이인복,박종훈,사직
2023.08.05(토),18:00,22:13,4:13,한현희,오원석,사직
2023.08.06(일),17:01,19:24,2:23,윌커슨,맥카티,사직
2023.08.08(화),18:29,21:31,3:02,김광현,페디,문학
2023.08.09(수),18:30,21:11,2:41,엘리아스,최성영,문학
2023.08.11(금),18:30,22:08,3:38,오원석,뷰캐넌,문학
2023.08.12(토),18:00,22:05,4:05,맥카티,백정현,문학
2023.08.13(일),17:00,19:39,2:39,김광현,와이드너,문학
2023.08.15(화),17:01,20:34,3:33,박세웅,엘리아스,사직
2023.08.16(수),18:30,21:57,3:27,윌커슨,박종훈,사직
2023.08.17(목),18:30,22:38,4:08,심재민,오원석,사직
2023.08.18(금),18:30,23:03,4:33,맥카티,최원태,문학
2023.08.19(토),18:00,21:21,3:21,김광현,임찬규,문학
2023.08.20(일),17:00,19:48,2:48,엘리아스,플럿코,문학
2023.08.24(목),18:31,21:07,2:36,맥카티,이재학,문학
2023.08.25(금),18:30,21:12,2:42,곽빈,김광현,잠실
2023.08.26(토),18:00,21:57,3:57,김민규,엘리아스,잠실
2023.08.27(일),17:00,21:23,4:23,알칸타라,문승원,잠실
2023.08.30(수),18:30,22:01,3:31,맥카티,맥키니,문학
2023.08.31(목),18:29,23:01,4:32,김광현,안우진,문학
2023.09.01(금),18:30,21:41,3:11,엘리아스,양현종,문학
2023.09.02(토),17:00,20:21,3:21,문승원,윤영철,문학
2023.09.03(일),14:00,17:48,3:48,오원석,이의리,문학
2023.09.05(화),18:30,22:22,3:52,한승주,맥카티,대전
2023.09.06(수),18:30,23:12,4:42,이태양,김광현,대전
2023.09.07(목),18:30,21:39,3:09,페냐,엘리아스,대전
2023.09.08(금),18:30,21:57,3:27,배제성,문승원,수원
2023.09.09(토),16:59,22:01,5:02,김민,오원석,수원
