날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.09.27(화),18:30,21:29,2:59,벤자민,최원준,수원
2022.09.28(수),18:30,21:22,2:52,소형준,최승용,수원
2022.09.29(목),18:30,22:05,3:35,김기중,브랜든,대전
2022.09.30(금),18:30,21:57,3:27,백정현,스탁,대구
2022.10.01(토),17:01,19:43,2:42,수아레즈,곽빈,대구
2022.10.02(일),14:00,17:13,3:13,박세웅,최원준,사직
2022.10.03(월),14:00,17:47,3:47,나균안,최승용,사직
2022.10.05(수),18:31,21:16,2:45,브랜든,김광현,잠실
2022.10.06(목),18:31,21:18,2:47,스탁,백정현,잠실
2022.10.07(금),18:31,22:01,3:30,곽빈,김윤수,잠실
2022.10.08(토),17:01,19:54,2:53,최원준,안우진,잠실
2023.04.01(토),14:02,18:45,4:43,알칸타라,스트레일리,잠실
2023.04.02(일),14:00,17:00,3:00,최원준,나균안,잠실
2023.04.04(화),18:30,21:13,2:43,곽빈,송명기,잠실
2023.04.05(수),18:30,21:57,3:27,최승용,신민혁,잠실
2023.04.06(목),18:30,22:05,3:35,김동주,이준호,잠실
2023.04.07(금),18:30,21:38,3:08,앤더슨,알칸타라,광주
2023.04.08(토),17:01,21:01,4:00,이의리,최원준,광주
2023.04.09(일),14:00,17:15,3:15,메디나,곽빈,광주
2023.04.11(화),18:30,21:46,3:16,최승용,최원태,잠실
2023.04.13(목),18:31,22:06,3:35,김동주,안우진,잠실
2023.04.14(금),18:30,22:01,3:31,김윤식,알칸타라,잠실
2023.04.15(토),17:00,19:32,2:32,플럿코,곽빈,잠실
2023.04.16(일),14:00,17:24,3:24,임찬규,최승용,잠실
2023.04.18(화),18:30,21:28,2:58,문동주,최원준,대전
2023.04.19(수),18:30,22:04,3:34,장민재,김동주,대전
2023.04.20(목),18:30,21:27,2:57,김민우,알칸타라,대전
2023.04.21(금),18:30,21:50,3:20,곽빈,배제성,잠실
2023.04.22(토),17:00,19:46,2:46,최승용,슐서,잠실
2023.04.23(일),14:00,17:31,3:31,최원준,고영표,잠실
2023.04.26(수),18:29,21:28,2:59,뷰캐넌,알칸타라,대구
2023.04.27(목),18:29,21:09,2:40,장필준,김동주,대구
2023.04.28(금),18:30,21:35,3:05,맥카티,최승용,문학
2023.04.29(토),16:59,20:39,3:40,오원석,최원준,문학
2023.04.30(일),13:59,16:41,2:42,박종훈,곽빈,문학
2023.05.02(화),18:31,21:36,3:05,알칸타라,장민재,잠실
2023.05.03(수),18:30,21:57,3:27,김동주,김민우,잠실
2023.05.04(목),18:30,22:08,3:38,딜런,페냐,잠실
2023.05.07(일),13:59,16:51,2:52,곽빈,켈리,잠실
2023.05.09(화),18:30,21:15,2:45,스트레일리,알칸타라,사직
2023.05.10(수),18:30,20:52,2:22,반즈,최원준,사직
2023.05.11(목),18:31,22:32,4:01,나균안,딜런,사직
2023.05.12(금),18:31,21:58,3:27,김동주,이의리,잠실
2023.05.13(토),17:01,19:31,2:30,최승용,메디나,잠실
2023.05.14(일),14:00,17:33,3:33,알칸타라,양현종,잠실
2023.05.16(화),18:30,21:48,3:18,최원태,최원준,고척
2023.05.17(수),18:30,22:14,3:44,정찬헌,이원재,고척
2023.05.18(목),18:30,22:09,3:39,안우진,김동주,고척
2023.05.19(금),18:30,21:40,3:10,엄상백,최승용,수원
2023.05.20(토),17:00,19:44,2:44,배제성,알칸타라,수원
2023.05.21(일),13:59,16:43,2:44,벤자민,최원준,수원
2023.05.23(화),18:30,21:49,3:19,장원준,원태인,잠실
2023.05.24(수),18:31,22:06,3:35,김동주,수아레즈,잠실
2023.05.25(목),18:31,22:12,3:41,최승용,백정현,잠실
2023.05.26(금),18:30,21:50,3:20,알칸타라,박종훈,잠실
2023.05.30(화),18:30,21:27,2:57,와이드너,최원준,창원
2023.05.31(수),18:31,22:16,3:45,이용준,곽빈,창원
2023.06.02(금),18:30,21:25,2:55,배제성,알칸타라,수원
2023.06.03(토),17:00,20:24,3:24,벤자민,김동주,수원
2023.06.04(일),17:00,20:12,3:12,이선우,최승용,수원
2023.06.06(화),14:01,17:12,3:11,장원준,장민재,잠실
2023.06.07(수),18:31,21:54,3:23,박신지,문동주,잠실
2023.06.08(목),18:31,21:11,2:40,알칸타라,김민우,잠실
2023.06.09(금),18:30,22:37,4:07,김동주,메디나,잠실
2023.06.10(토),17:00,20:26,3:26,최승용,이의리,잠실
2023.06.11(일),16:58,19:31,2:33,곽빈,윤영철,잠실
2023.06.13(화),18:30,21:45,3:15,이용준,장원준,창원
2023.06.14(수),18:30,23:27,3:39,최성영,알칸타라,창원
2023.06.15(목),18:31,22:04,3:33,신민혁,최원준,창원
2023.06.16(금),18:30,22:12,3:42,이민호,최승용,잠실
2023.06.17(토),17:00,20:08,3:08,켈리,곽빈,잠실
2023.06.18(일),17:00,20:04,3:04,플럿코,장원준,잠실
2023.06.20(화),18:31,22:05,3:34,알칸타라,조성훈,잠실
2023.06.21(수),18:30,22:14,3:44,최원준,오원석,잠실
2023.06.22(목),18:31,21:57,3:20,최승용,맥카티,잠실
2023.06.23(금),18:30,21:53,3:23,장재영,곽빈,고척
2023.06.24(토),17:00,19:39,2:39,후라도,브랜든,고척
2023.06.25(일),14:00,17:40,3:40,맥키니,알칸타라,고척
2023.06.27(화),18:30,21:12,2:42,최원준,신민혁,잠실
2023.06.28(수),18:30,21:43,3:13,장원준,페디,잠실
2023.06.30(금),18:30,21:57,3:27,박세웅,브랜든,울산
2023.07.01(토),18:01,21:04,3:03,반즈,곽빈,울산
2023.07.02(일),17:00,20:11,3:11,스트레일리,알칸타라,울산
2023.07.04(화),18:30,22:54,4:24,수아레즈,최원준,포항
2023.07.05(수),18:29,22:04,3:35,황동재,김동주,포항
2023.07.06(목),18:28,21:19,2:51,최채흥,브랜든,포항
2023.07.07(금),18:30,21:59,3:29,곽빈,맥키니,잠실
2023.07.08(토),18:01,21:06,3:05,알칸타라,최원태,잠실
2023.07.09(일),17:00,20:15,3:15,최원준,정찬헌,잠실
2023.07.12(수),18:29,21:52,3:23,김광현,브랜든,문학
2023.07.21(금),18:30,21:30,3:00,산체스,알칸타라,광주
2023.07.25(화),18:30,22:10,3:32,브랜든,나균안,잠실
2023.07.26(수),18:30,21:47,3:17,곽빈,윌커슨,잠실
2023.07.27(목),18:30,21:46,3:16,최원준,반즈,잠실
2023.07.28(금),18:30,21:42,3:12,알칸타라,켈리,잠실
2023.07.29(토),18:00,22:15,4:15,김동주,이지강,잠실
2023.07.30(일),17:00,19:54,2:54,브랜든,최원태,잠실
2023.08.01(화),18:30,21:37,3:07,문동주,곽빈,대전
2023.08.02(수),18:30,22:34,4:04,산체스,최원준,대전
2023.08.03(목),18:30,21:40,3:10,페냐,알칸타라,대전
2023.08.04(금),18:31,22:12,3:41,김동주,배제성,잠실
2023.08.05(토),18:01,21:01,3:00,브랜든,벤자민,잠실
2023.08.06(일),17:00,19:53,2:53,곽빈,고영표,잠실
2023.08.08(화),18:30,21:34,3:04,최승용,최채흥,잠실
2023.08.09(수),18:31,21:44,3:13,알칸타라,원태인,잠실
2023.08.11(금),18:30,22:07,3:37,한승혁,브랜든,대전
2023.08.12(토),18:01,21:01,3:00,문동주,곽빈,대전
2023.08.13(일),17:00,20:23,3:23,산체스,최원준,대전
2023.08.15(화),17:01,19:38,2:37,알칸타라,쿠에바스,잠실
2023.08.16(수),18:31,21:54,3:23,김동주,엄상백,잠실
2023.08.17(목),18:31,22:28,3:57,브랜든,벤자민,잠실
2023.08.19(토),17:59,21:29,3:30,최승용,페디,잠실
2023.08.20(일),17:00,21:13,4:13,곽빈,태너,잠실
2023.08.22(화),18:30,21:17,2:47,김선기,알칸타라,고척
2023.08.23(수),18:30,22:28,3:58,장재영,브랜든,고척
2023.08.24(목),18:30,22:37,4:07,맥키니,김동주,고척
2023.08.25(금),18:30,21:12,2:42,곽빈,김광현,잠실
2023.08.26(토),18:00,21:57,3:57,김민규,엘리아스,잠실
2023.08.27(일),17:00,21:23,4:23,알칸타라,문승원,잠실
2023.08.31(목),18:30,22:05,3:35,켈리,곽빈,잠실
2023.09.03(일),14:00,16:41,2:41,반즈,브랜든,사직
2023.09.04(월),18:29,22:03,3:34,박세웅,알칸타라,사직
2023.09.06(수),18:31,21:46,3:15,곽빈,파노니,잠실
2023.09.07(목),18:30,21:32,3:02,최원준,양현종,잠실
2023.09.08(금),18:30,22:32,4:02,최승용,김대우,잠실
2023.09.09(토),14:01,16:47,2:46,장원준,뷰캐넌,잠실
2023.09.09(토),17:17,20:20,3:03,브랜든,최하늘,잠실
2023.09.10(일),14:00,17:23,3:23,알칸타라,최채흥,잠실
2023.09.12(화),18:30,21:40,3:10,곽빈,이태양,잠실
2023.09.14(목),18:30,21:22,2:52,최승용,엘리아스,잠실
2023.09.15(금),18:30,22:39,4:09,윤영철,브랜든,광주
