날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.09.09(금),14:00,17:34,3:34,한현희,김윤식,고척
2022.09.10(토),17:00,20:13,3:13,정찬헌,벤자민,고척
2022.09.11(일),14:00,16:50,2:50,애플러,고영표,고척
2022.09.13(화),18:34,21:43,3:09,이의리,안우진,광주
2022.09.14(수),18:31,20:42,2:11,놀린,요키시,광주
2022.09.15(목),18:30,21:31,3:01,이인복,한현희,사직
2022.09.16(금),18:30,22:38,4:08,반즈,정찬헌,사직
2022.09.17(토),17:00,20:21,3:21,애플러,루친스키,고척
2022.09.18(일),14:00,16:53,2:53,안우진,김태경,고척
2022.09.20(화),18:30,21:47,3:17,요키시,원태인,고척
2022.09.21(수),18:30,21:57,3:27,한현희,백정현,고척
2022.09.22(목),18:30,22:12,3:42,정찬헌,최승용,고척
2022.09.23(금),18:30,21:46,3:16,애플러,브랜든,고척
2022.09.24(토),17:00,20:21,3:21,안우진,박세웅,고척
2022.09.27(화),18:29,22:17,3:48,신민혁,요키시,창원
2022.09.29(목),18:30,22:58,4:28,김광현,한현희,문학
2022.09.30(금),18:29,22:57,4:28,폰트,안우진,문학
2022.10.06(목),18:30,22:43,4:13,김민우,요키시,대전
2022.10.08(토),17:01,19:54,2:53,최원준,안우진,잠실
2023.04.01(토),14:01,17:56,3:55,안우진,스미스,고척
2023.04.02(일),14:00,17:36,3:36,요키시,김민우,고척
2023.04.04(화),18:30,21:33,3:03,후라도,플럿코,고척
2023.04.05(수),18:30,21:40,3:10,최원태,이민호,고척
2023.04.06(목),18:31,21:45,3:14,장재영,강효종,고척
2023.04.07(금),18:30,20:49,2:19,페디,안우진,창원
2023.04.08(토),17:00,20:41,3:41,구창모,요키시,창원
2023.04.09(일),13:59,16:53,2:54,송명기,후라도,창원
2023.04.11(화),18:30,21:46,3:16,최승용,최원태,잠실
2023.04.13(목),18:31,22:06,3:35,김동주,안우진,잠실
2023.04.14(금),18:31,21:22,2:51,요키시,메디나,고척
2023.04.15(토),17:00,19:56,2:56,후라도,윤영철,고척
2023.04.16(일),14:00,16:48,2:48,최원태,양현종,고척
2023.04.18(화),18:30,21:22,2:52,장재영,백정현,고척
2023.04.19(수),18:30,22:50,4:20,안우진,이재희,고척
2023.04.20(목),18:30,21:12,2:42,요키시,뷰캐넌,고척
2023.04.21(금),18:29,21:16,2:47,김광현,후라도,문학
2023.04.22(토),17:00,19:33,2:33,맥카티,최원태,문학
2023.04.23(일),14:00,17:33,3:33,오원석,이승호,문학
2023.04.25(화),18:30,21:12,2:42,안우진,엄상백,고척
2023.04.26(수),18:30,21:35,3:05,요키시,벤자민,고척
2023.04.27(목),18:30,21:48,3:18,후라도,조이현,고척
2023.04.28(금),18:30,22:04,3:34,반즈,최원태,사직
2023.04.30(일),14:01,17:00,2:59,한현희,안우진,사직
2023.05.02(화),18:30,21:56,3:26,뷰캐넌,요키시,대구
2023.05.03(수),18:30,21:00,2:30,오승환,후라도,대구
2023.05.04(목),18:30,21:23,2:53,수아레즈,최원태,대구
2023.05.05(금),14:00,16:35,2:35,정찬헌,오원석,고척
2023.05.06(토),17:00,19:38,2:38,안우진,박종훈,고척
2023.05.07(일),14:00,18:40,4:40,요키시,송영진,고척
2023.05.09(화),18:30,22:04,3:34,플럿코,후라도,잠실
2023.05.10(수),18:30,21:47,3:17,김윤식,최원태,잠실
2023.05.11(목),18:30,20:53,2:23,임찬규,정찬헌,잠실
2023.05.12(금),18:31,22:01,3:30,안우진,이용준,고척
2023.05.13(토),17:00,20:06,3:06,요키시,송명기,고척
2023.05.14(일),14:00,16:55,2:55,후라도,페디,고척
2023.05.16(화),18:30,21:48,3:18,최원태,최원준,고척
2023.05.17(수),18:30,22:14,3:44,정찬헌,이원재,고척
2023.05.18(목),18:30,22:09,3:39,안우진,김동주,고척
2023.05.19(금),18:30,21:04,2:34,이의리,요키시,광주
2023.05.20(토),17:00,19:47,2:47,메디나,후라도,광주
2023.05.21(일),14:00,16:55,2:55,양현종,최원태,광주
2023.05.23(화),18:31,21:25,2:54,슐서,정찬헌,수원
2023.05.24(수),18:30,21:11,2:41,고영표,안우진,수원
2023.05.25(목),18:30,21:17,2:40,엄상백,요키시,수원
2023.05.26(금),18:30,21:15,2:45,후라도,스트레일리,고척
2023.05.27(토),14:00,17:28,3:28,최원태,반즈,고척
2023.05.28(일),14:00,17:34,3:34,정찬헌,나균안,고척
2023.05.30(화),18:30,21:31,3:01,산체스,안우진,대전
2023.05.31(수),18:30,21:23,2:53,장민재,요키시,대전
2023.06.01(목),18:30,21:15,2:45,문동주,후라도,대전
2023.06.02(금),18:30,21:47,3:17,박종훈,최원태,문학
2023.06.03(토),17:00,20:16,3:16,오원석,정찬헌,문학
2023.06.04(일),16:59,20:06,3:07,맥카티,장재영,문학
2023.06.06(화),14:00,17:08,3:08,요키시,켈리,고척
2023.06.07(수),18:30,22:56,4:26,후라도,플럿코,고척
2023.06.08(목),18:30,21:21,2:51,최원태,김윤식,고척
2023.06.09(금),18:29,21:47,3:18,벤자민,정찬헌,수원
2023.06.10(토),17:00,19:42,2:42,이선우,안우진,수원
2023.06.11(일),17:00,20:20,3:20,주권,장재영,수원
2023.06.13(화),18:30,21:42,3:12,후라도,양현종,고척
2023.06.14(수),18:29,21:18,2:49,최원태,앤더슨,고척
2023.06.15(목),18:30,22:20,3:50,정찬헌,메디나,고척
2023.06.16(금),18:30,22:32,4:02,산체스,안우진,대전
2023.06.17(토),17:00,20:57,3:57,한승혁,장재영,대전
2023.06.18(일),17:00,21:25,4:25,문동주,후라도,대전
2023.06.20(화),18:29,21:41,3:12,뷰캐넌,최원태,대구
2023.06.21(수),18:30,21:41,3:11,원태인,정찬헌,대구
2023.06.22(목),18:30,21:32,3:02,수아레즈,안우진,대구
2023.06.23(금),18:30,21:53,3:23,장재영,곽빈,고척
2023.06.24(토),17:00,19:39,2:39,후라도,브랜든,고척
2023.06.25(일),14:00,17:40,3:40,맥키니,알칸타라,고척
2023.06.27(화),18:29,21:03,2:04,이의리,정찬헌,광주
2023.06.28(수),18:30,22:46,4:16,윤영철,안우진,광주
2023.06.30(금),18:30,21:28,2:58,후라도,김광현,고척
2023.07.01(토),18:00,21:10,3:10,맥키니,엘리아스,고척
2023.07.02(일),14:00,17:55,3:55,최원태,오원석,고척
2023.07.04(화),18:30,22:14,3:44,안우진,이준호,고척
2023.07.05(수),18:31,21:24,2:53,장재영,페디,고척
2023.07.06(목),18:30,22:07,3:37,후라도,와이드너,고척
2023.07.07(금),18:30,21:59,3:29,곽빈,맥키니,잠실
2023.07.08(토),18:01,21:06,3:05,알칸타라,최원태,잠실
2023.07.09(일),17:00,20:15,3:15,최원준,정찬헌,잠실
2023.07.11(화),18:29,21:13,2:44,안우진,벤자민,고척
2023.07.12(수),18:30,21:40,3:10,후라도,쿠에바스,고척
2023.07.13(목),18:30,21:20,2:50,맥키니,고영표,고척
2023.07.21(금),18:30,20:58,2:28,반즈,안우진,사직
2023.07.22(토),18:01,21:42,3:41,박세웅,후라도,사직
2023.07.23(일),17:00,23:10,4:44,이인복,최원태,사직
2023.07.25(화),18:30,23:01,4:31,장재영,한승혁,고척
2023.07.26(수),18:30,21:39,3:09,맥키니,문동주,고척
2023.07.27(목),18:30,20:42,2:12,안우진,산체스,고척
2023.07.28(금),18:31,22:56,4:25,후라도,원태인,고척
2023.07.29(토),18:01,21:09,3:08,김동혁,뷰캐넌,고척
2023.07.30(일),14:00,17:45,3:45,장재영,백정현,고척
2023.08.01(화),18:30,21:42,3:12,임찬규,맥키니,잠실
2023.08.02(수),18:30,21:30,3:00,이정용,안우진,잠실
2023.08.03(목),18:30,23:00,4:30,켈리,후라도,잠실
2023.08.04(금),18:30,21:32,3:02,정구범,정찬헌,창원
2023.08.05(토),18:01,20:51,2:50,신민혁,장재영,창원
2023.08.06(일),17:00,20:25,3:25,송명기,맥키니,창원
